from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
133,136,"Manager, Director, Head of",1986,2001,15,1,1,1,"Essen, Ennigerloh, Rheinhausen, Johannesburg-ZAF",,,,,,,,,,,,,,,,,
133,137,Chief Executive Officer,2001,2006,4,1,2,1,Radolfzell,,,,,,,,,,,,,,,,,
121,138,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
133,138,Vorstand,2007,2011,4,1,1,1,München,,,,,,,,,,,,,,,,,
133,139,Chief Executive Officer,2012,2015,4,1,2,1,Winterthur-SUI,,,,,,,,,,,,,,,,,
133,140,Beiratsvorsitzender,2018,2020,2,1,1,1,Herne,,,,,,,,,,,,,,,,,
133,141,Director,2020,2025,5,1,1,1,London-UK,,,,,,,,,,,,,,,,,
142,5,Aufsichtsrat,2016,2025,9,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,143,Betriebswirtschaftslehre,1982,1987,5,1,1,2,Münster,,,,,,,,,,,,,,,,,
142,106,Wirtschaftsprüfer,1989,1993,4,1,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,5,Manager,1993,2001,8,1,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,144,Präsident,2013,2016,4,1,1,1,Berlin,,,,,,,,,,,,,,,,,
142,145,Mitgliedergruppenvertreter,2012,2025,13,2,1,1,Hannover,,,,,,,,,,,,,,,,,
142,146,Beiratsmitglied,2015,2025,10,2,1,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
142,147,Member of the European Board of Adivsors,2017,2025,8,2,1,1,London-UK,,,,,,,,,,,,,,,,,
142,148,Aufsichtsrat,2019,2025,6,2,1,1,Essen,,,,,,,,,,,,,,,,,
142,149,Vorsitzender der Geschäftsführung,2018,2015,7,2,2,1,Datteln,,,,,,,,,,,,,,,,,
142,150,Vorstand,2001,2025,24,2,2,1,Duisburg,,,,,,,,,,,,,,,,,
151,5,Aufsichtsrat,2017,2025,8,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
151,45,Maschinenbau,1975,1981,6,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
151,45,Promotion,1981,1985,4,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
151,152,Trainee,1985,1987,2,1,1,1,München,,,,,,,,,,,,,,,,,
151,152,"Qualitätsmanager, Führungspos. ",1987,1999,12,1,1,1,München,,,,,,,,,,,,,,,,,
151,152,Leitung in div. Positionen,2000,2006,6,1,1,1,München,,,,,,,,,,,,,,,,,
151,153,Vorstand,2006,2016,10,1,2,1,München,,,,,,,,,,,,,,,,,
153,152,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
154,3,Executive Vice President,1990,2025,35,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
155,3,Executive Vice President,2007,2025,18,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
155,156,NA,1999,2001,2,1,1,2,NA,,,,,,,,,,,,,,,,,
157,3,Executive Vice President,2013,2025,12,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
158,5,Aufsichtsrat,2024,2025,1,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
158,160,Business Administration,NA,1996,NA,1,1,2,Trier,,,,,,,,,,,,,,,,,
158,161,"Manager, Senior Manager",1996,2002,6,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
157,159,Chief Financial Officer,2010,2013,5,1,1,1,Mandal,,,,,,,,,,,,,,,,,
158,161,Director,2002,2003,1,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,"Vice President, Senior Vice President",2004,2009,5,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,President,2009,2017,8,1,2,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,Vorstand,2017,2023,6,1,2,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,162,Chief Executive Officer,2024,2025,1,2,2,1,Kremsmünster-AUS,,,,,,,,,,,,,,,,,
158,163,Board Member,2023,2025,2,2,1,1,NA,,,,,,,,,,,,,,,,,
157,43,Finance,2000,2004,4,1,1,2,Bergen,,,,,,,,,,,,,,,,,
164,5,Aufsichtsrat,2002,2025,23,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
165,3,Executive Vice President,1998,2025,27,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
164,166,Ausbildung,1977,1979,3,1,1,1,Bremen,,,,,,,,,,,,,,,,,
164,134,Wirtschaftsingenieurwesen,1979,1983,4,1,1,2,Darmstadt,,,,,,,,,,,,,,,,,
164,134,Promotion,1983,1985,2,1,1,2,Darmstadt,,,,,,,,,,,,,,,,,
164,167,NA,1986,1988,2,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
164,167,"Vorstandsasstistent, Leitung",1988,1993,2,1,1,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
164,168,Generalbevollmächtigter,1993,2000,7,1,1,1,München,,,,,,,,,,,,,,,,,
164,167,"Leiter, Vorstand",2000,2009,9,1,2,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
164,169,Professor,2008,2025,17,2,1,1,München,,,,,,,,,,,,,,,,,
170,171,Wirtschaftswissenschaften  ,NA,NA,NA,1,1,2,Bochum,,,,,,,,,,,,,,,,,
170,171,Promotion,NA,NA,NA,1,1,2,Bochum,,,,,,,,,,,,,,,,,
170,172,NA,1993,1994,1,1,1,1,NA,,,,,,,,,,,,,,,,,
170,106,NA,1994,1998,4,1,1,1,München,,,,,,,,,,,,,,,,,
170,76,NA,1998,2003,5,1,1,1,NA,,,,,,,,,,,,,,,,,
170,5,Leiter  ,2003,2007,4,1,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
170,171,Professor ,2007,2025,18,2,1,1,Bochum,,,,,,,,,,,,,,,,,
170,173,Wirtschaftsprüfer,2009,2025,16,2,1,1,Berlin,,,,,,,,,,,,,,,,,
174,175,Business Administration,NA,1995,NA,1,1,2,Freiburg,,,,,,,,,,,,,,,,,
174,176,Business Administration,1995,1999,4,1,1,2,Lund-SWE,,,,,,,,,,,,,,,,,
174,64,Executive,1999,2003,4,1,1,1,München,,,,,,,,,,,,,,,,,
174,177,Manager,2003,2005,2,1,1,1,München,,,,,,,,,,,,,,,,,
174,178,Manager,2005,2007,2,1,1,1,München,,,,,,,,,,,,,,,,,
174,138,Senior Manager,2007,2008,1,1,1,1,München,,,,,,,,,,,,,,,,,
174,179,Chief Financial Officer,2008,2015,7,1,2,1,"München, Moskau-RUS",,,,,,,,,,,,,,,,,
179,138,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
174,180,Senior Manager,2016,2016,1,1,1,1,Pratteln-SUI,,,,,,,,,,,,,,,,,
174,181,Head of,2016,2019,3,1,1,1,Duisburg,,,,,,,,,,,,,,,,,
174,182,Chief Financial Officer,2020,2022,2,1,2,1,Friedrichshafen,,,,,,,,,,,,,,,,,
174,183,Advisory Board Member,2021,2022,1,1,1,1,Berlin,,,,,,,,,,,,,,,,,
174,5,Aufsichtsrat,2022,2025,3,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
174,184,Chief Financial Officer,2023,2025,2,2,2,1,München,,,,,,,,,,,,,,,,,
185,186,Rechtswissenschaften,1991,1999,8,1,1,2,"Köln, Düsseldorf",,,,,,,,,,,,,,,,,
185,187,Aufsichtsrat,2017,2019,2,1,1,1,Hamburg,,,,,,,,,,,,,,,,,
185,188,Aufsichtsrat,2016,2019,3,1,1,1,Essen,,,,,,,,,,,,,,,,,
185,189,Aufsichtsrat,2007,2025,18,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
185,190,Vorstand,2011,2025,14,2,2,1,Köln,,,,,,,,,,,,,,,,,
185,5,Aufsichtsrat,2024,2025,1,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
185,191,Aufsichtsrat,2012,2025,13,2,1,1,Büdelsdorf,,,,,,,,,,,,,,,,,
185,192,Geschäftsführer,2012,2025,13,2,2,1,Düsseldorf,,,,,,,,,,,,,,,,,
193,194,Elektrotechnik,NA,1978,NA,1,1,2,Duisburg,,,,,,,,,,,,,,,,,
193,195,NA,1982,1992,10,1,1,1,NA,,,,,,,,,,,,,,,,,
193,196,Vice President,1992,2009,17,1,,1,NA,,,,,,,,,,,,,,,,,
193,197,Geschäftsführer,2009,2012,3,1,2,1,Traunreut,,,,,,,,,,,,,,,,,
193,198,Chief Executive Officer,2011,2012,1,1,2,1,München,,,,,,,,,,,,,,,,,
193,195,Beiratsmitglied,2011,2015,4,1,1,1,NA,,,,,,,,,,,,,,,,,
193,199,Aufsichtsrat,2012,2016,4,1,1,1,NA,,,,,,,,,,,,,,,,,
60,199,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
193,200,Beiratsmitglied,2002,2019,17,1,1,1,Homberg,,,,,,,,,,,,,,,,,
193,201,Aufsichtsrat,2014,2021,7,1,1,1,NA,,,,,,,,,,,,,,,,,
193,202,Aufsichtsrat,2022,2022,1,1,1,1,NA,,,,,,,,,,,,,,,,,
193,5,Aufsichtsrat,2016,2025,9,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
165,232,Sozialökonomie,1984,1988,4,1,1,2,Oslo-NOR,,,,,,,,,,,,,,,,,
165,234,Board Member,2020,2025,5,2,1,1,Andøy-NOR,,,,,,,,,,,,,,,,,
165,235,Fafo,2019,2025,6,2,1,1,Oslo-NOR,,,,,,,,,,,,,,,,,
242,243,Jura,1988,1999,11,1,1,2,Jena,,,,,,,,,,,,,,,,,
242,243,Scientific Assistant ,1993,1999,5,1,1,1,Jena,,,,,,,,,,,,,,,,,
242,9,Senior Vice President,2009,2013,5,1,1,1,Toulouse-FR,,,,,,,,,,,,,,,,,
242,9,Executive Vice President,2014,2022,9,1,1,1,München,,,,,,,,,,,,,,,,,
242,2,Chief Human Resources Officer,2022,2025,3,2,2,1,München,,,,,,,,,,,,,,,,,
165,236,Board Member,2017,2025,8,2,2,3,Oslo-NOR,,,,,,,,,,,,,,,,,
165,237,Chairman of the Board,2009,2025,16,2,2,1,Oslo-NOR,,,,,,,,,,,,,,,,,
165,238,Board Member,2006,2024,18,1,2,3,Oslo-NOR,,,,,,,,,,,,,,,,,
165,239,Senior Adviser,1997,1998,1,1,1,1,Oslo-NOR,,,,,,,,,,,,,,,,,
165,240,State Secretary,1993,1996,3,1,1,1,Oslo-NOR,,,,,,,,,,,,,,,,,
165,241,Adviser,1988,1993,5,1,1,1,Oslo-NOR,,,,,,,,,,,,,,,,,
244,3,Executive Vice President,2020,2025,5,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
244,239,Senior Vice President,2017,2018,1,1,2,1,Oslo-NOR,,,,,,,,,,,,,,,,,
245,3,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
244,245,Board Member,2022,2024,2,1,2,1,Helsinki-FIN,,,,,,,,,,,,,,,,,
244,246,Board Member,2015,2018,3,1,2,1,Lysaker-NOR,,,,,,,,,,,,,,,,,
244,247,Board Member,2015,2017,2,1,2,1,Oslo-NOR,,,,,,,,,,,,,,,,,
244,248,Chairman of the Board,2013,2014,1,1,2,1,Oslo-NOR,,,,,,,,,,,,,,,,,
244,355,Board Member,2018,2022,4,1,2,1,Oppland-NOR,,,,,,,,,,,,,,,,,
244,3,Board Member,2019,2022,4,1,2,1,Kongsberg,,,,,,,,,,,,,,,,,
244,3,Chief Financial Officer,2018,2020,2,1,2,1,Kongsberg,,,,,,,,,,,,,,,,,
356,3,Executive Vice President,2023,2025,2,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
244,43,"BWL, VWL",1997,2001,4,1,1,2,Bergen-NOR,,,,,,,,,,,,,,,,,
203,204,Director Future Systems | Member of the Board,2022,2025,3,2,2,1,Berlin/Brandenburg ,,,,,,,,,,,,,,,,,
203,205,Member of the Advisory,2023,2025,2,2,2,1,Bayern,,,,,,,,,,,,,,,,,
203,206,Member of the Management Board ,2020,2025,5,2,2,1,International,,,,,,,,,,,,,,,,,
203,207,Executive Board Representative Defence and Security,2020,2022,2,1,2,1,Deutschland,,,,,,,,,,,,,,,,,
208,209,Engineering Director Germany,2022,2025,3,2,2,1,Schobernhausen,,,,,,,,,,,,,,,,,
208,210,Division Head Engineering,2021,2021,1,1,2,1,Ottbrunn,,,,,,,,,,,,,,,,,
208,211,Doktorand,NA,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
208,212,Doktorand,NA,NA,NA,1,1,1,München,,,,,,,,,,,,,,,,,
356,357,Executive Education,2011,2011,1,1,1,2,Cambridge-UK,,,,,,,,,,,,,,,,,
356,358,Jura,1988,2005,17,1,1,2,Tromsø-NOR,,,,,,,,,,,,,,,,,
356,359,Rechtsanwalt,2000,2003,3,1,1,1,Oslo-NOR,,,,,,,,,,,,,,,,,
213,204,Direktor Operations Deutschland,2022,2025,3,2,1,1,NA,,,,,,,,,,,,,,,,,
213,215,Leiter Produktion ,2021,2021,1,1,1,1,NA,,,,,,,,,,,,,,,,,
213,216,Technischer Leiter,2015,2021,6,1,1,1,NA,,,,,,,,,,,,,,,,,
15,245,Mitglied des Verwaltungsrats,2022,2024,2,1,2,1,Helsinki-FIN,,,,,,,,,,,,,,,,,
15,3,Mitglied des Verwaltungsrats,2024,2025,1,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
15,361,Chief Financial Officer,2019,2021,2,1,2,1,Ikornnes-NOR,,,,,,,,,,,,,,,,,
15,362,Chief Financial Officer,2015,2019,4,1,2,1,Hønefoss-NOR,,,,,,,,,,,,,,,,,
217,204,Director Sales and Business Development ,2022,2025,3,2,2,1,Schrobernhausen,,,,,,,,,,,,,,,,,
217,219,Head of Sales and Marketing,2018,2022,4,1,2,1,Schrobernhausen,,,,,,,,,,,,,,,,,
217,220,Head of Sales and Marketing Airborne Platforms,2013,2018,5,1,2,1,Schrobernhausen,,,,,,,,,,,,,,,,,
217,221,Senior Sales Representative,2010,2013,2,1,2,1,München,,,,,,,,,,,,,,,,,
364,3,Deputy chair,2015,2025,10,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
363,3,Chairman,2017,2025,8,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
363,232,Volkswirtschaftslehre,NA,NA,NA,1,1,2,Oslo-NOR,,,,,,,,,,,,,,,,,
364,43,Ingenieurwissenschaften,NA,NA,NA,1,1,2,Bergen-NOR,,,,,,,,,,,,,,,,,
244,365,NA,2001,2001,1,1,1,2,St. Gallen-SUI,,,,,,,,,,,,,,,,,
366,365,Management,2000,2001,1,1,1,2,St. Gallen-SUI,,,,,,,,,,,,,,,,,
366,3,Director,2021,2025,4,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
366,43,Finanzen,1996,2000,4,1,1,2,Bergen-NOR,,,,,,,,,,,,,,,,,
372,9,Chief Executive Officer,2021,2025,4,2,2,1,München,,,,,,,,,,,,,,,,,
372,9,Chief Operating Officer,2019,2021,2,1,2,1,Hamburg,,,,,,,,,,,,,,,,,
372,144,Präsidiumsmitglied,2021,2025,4,2,1,3,Berlin,,,,,,,,,,,,,,,,,
372,373,President,2021,2025,4,2,2,3,Berlin,,,,,,,,,,,,,,,,,
372,221,Military Aviator and Officer,1984,1994,10,1,1,1,Deutschland,,,,,,,,,,,,,,,,,
372,374,Engineering,1985,1999,14,1,1,2,Hamburg,,,,,,,,,,,,,,,,,
376,6,Finanz-/Vermögensverwaltung,1983,1987,5,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
376,380,Vorsitz,1987,1992,5,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
376,6,"Aufsichtsrat, stv. Vorsitz ",2008,2025,17,2,1,1,Nürnberg,,,,,,,,,,,,,,,,,
375,6,"Aufsichtsrat, Vorsitz",NA,2025,NA,2,1,1,Nürnberg,,,,,,,,,,,,,,,,,
376,6,Verwaltungsrat,1992,1998,6,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
376,6,Aufsichtsrat,1998,2002,4,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
376,6,"Aufsichtsrat, Vorsitz",2002,2008,6,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
377,6,Aufsichtsrat,NA,2025,NA,2,1,1,Nürnberg,,,,,,,,,,,,,,,,,
378,6,Aufsichtsrat,2024,2025,2,2,1,1,Nürnberg,,,,,,,,,,,,,,,,,
378,381,Vorstand,2011,2021,10,1,2,1,NA,,,,,,,,,,,,,,,,,
378,381,Chief Executive Officer,2008,2011,3,1,2,1,NA,,,,,,,,,,,,,,,,,
378,381,Ingenieurwissenschaften,1986,1995,9,1,2,1,NA,,,,,,,,,,,,,,,,,
378,381,Leiter der Entwicklung der Automatisierungstechnik,1995,1997,2,1,2,1,NA,,,,,,,,,,,,,,,,,
378,381,Management,1997,2008,11,1,2,1,NA,,,,,,,,,,,,,,,,,
379,6,Aufsichtsrat,2023,2025,2,2,1,1,Nürnberg,,,,,,,,,,,,,,,,,
379,382,MBA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
379,383,MBA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
384,6,Vorstand,2022,2025,3,2,2,1,NA,,,,,,,,,,,,,,,,,
384,6,Senior Vice President HR,2018,2021,3,1,2,1,NA,,,,,,,,,,,,,,,,,
384,6,Vice President HR,2013,2018,5,1,2,1,NA,,,,,,,,,,,,,,,,,
391,6,"Generalbevollmächtigte, Vorstand",NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
385,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
386,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
387,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
388,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
389,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
390,6,Vorstand,NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
391,6,"Vorstand, Generalbevollmächtigt",NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
392,6,"Vorstand, Generalbevollmächtigt",NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
393,6,"Vorstand, Generalbevollmächtigt",NA,2025,NA,2,2,1,NA,,,,,,,,,,,,,,,,,
397,16,NA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
398,16,Luft- und Raumfahrttechnik,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
398,16,NA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
399,16,NA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
400,16,NA,NA,NA,NA,1,1,2,NA,,,,,,,,,,,,,,,,,
401,16,Vorstand,NA,NA,NA,1,2,1,NA,,,,,,,,,,,,,,,,,
16,4,Bereichsleiter,2018,2025,7,2,2,1,NA,,,,,,,,,,,,,,,,,
16,4,Vorstand,2023,2025,2,1,2,1,NA,,,,,,,,,,,,,,,,,
16,4,Chief Sustainability Officer,2022,2025,3,1,2,1,NA,,,,,,,,,,,,,,,,,
222,204,HR Director ,2011,2025,3,2,2,1,Schrobenhausen,,,,,,,,,,,,,,,,,
222,224,General Secretary and Head of Special Projects ,2005,2011,6,1,2,1,"Unterschleißheim, Schrobenhausen",,,,,,,,,,,,,,,,,
222,225,Attorney - at - Law and Deputy General Counsel ,2000,2005,5,1,2,1,Unterschleißheim,,,,,,,,,,,,,,,,,
226,204,Managing Director MBDA Germany,2018,2025,7,2,2,1,Schrobenhausen,,,,,,,,,,,,,,,,,
226,9,SVP Corporate Secretary,2015,2016,1,1,2,1,Ottobrunn,,,,,,,,,,,,,,,,,
229,204,Programms Director ,2023,2025,2,2,2,1,Schrobenhausen,,,,,,,,,,,,,,,,,
229,231,Geschäftsführer TDW GmbH ,2019,2023,4,1,2,1,Schrobenhausen,,,,,,,,,,,,,,,,,
249,7,Executive Director ,2021,2025,4,2,2,1,NA,,,,,,,,,,,,,,,,,
249,251,Board Member ,2020,2025,5,2,2,1,FR,,,,,,,,,,,,,,,,,
249,252,Senior Advisor Digital Transformation ,2019,2025,6,2,2,1,NA,,,,,,,,,,,,,,,,,
249,253,Non Executive Director ,2019,2025,6,2,1,1,NA,,,,,,,,,,,,,,,,,
249,254,Managing Director Western Europe,2017,2019,2,1,1,1,FR,,,,,,,,,,,,,,,,,
249,255,Vice President Communicatios Sector,2015,2017,2,1,1,1,FR,,,,,,,,,,,,,,,,,
249,7,Vice President Strategy and Business Development ,2012,2015,3,1,1,1,NA,,,,,,,,,,,,,,,,,
249,257,General Manager Microsoft Services ,2010,2012,2,1,1,1,NA,,,,,,,,,,,,,,,,,
249,258,General Manager ,2007,2010,3,1,1,1,NA,,,,,,,,,,,,,,,,,
249,259,Director Sales and Business Development ,2003,2007,4,1,1,1,NA,,,,,,,,,,,,,,,,,
249,260,Sales Director ,2000,2003,3,1,1,1,NA,,,,,,,,,,,,,,,,,
249,261,Marketing Manager,1998,2000,2,1,1,1,NA,,,,,,,,,,,,,,,,,
249,262,Business Development Manager ,1995,1998,3,1,1,1,NA,,,,,,,,,,,,,,,,,
249,263,Project Manager ,1992,1995,3,1,1,1,NA,,,,,,,,,,,,,,,,,
264,7,Board Member ,2020,2025,5,2,2,1,NA,,,,,,,,,,,,,,,,,
264,266,Managing Partner ,2018,2025,7,2,2,1,NA,,,,,,,,,,,,,,,,,
264,267,"Senior Partner, Private Equity ",2015,2018,5,1,2,1,NA,,,,,,,,,,,,,,,,,
264,268,"Board Member, Finance and Investment Comitee",2013,2025,12,2,2,1,NA,,,,,,,,,,,,,,,,,
264,269,"Board Member,Finance and Risk Comitte ",2010,2025,15,2,2,1,NA,,,,,,,,,,,,,,,,,
264,270,"Board Member, Strategy Comitee",2007,2025,18,2,2,1,NA,,,,,,,,,,,,,,,,,
264,271,"Managing Director, Private Banking ",2003,2007,4,1,1,1,NA,,,,,,,,,,,,,,,,,
436,9,"Head of Transformation, Corporate Secretary",2021,2025,4,2,2,1,"München, Toulouse-FR",,,,,,,,,,,,,,,,,
436,437,International Communications,1996,1999,3,1,1,2,Paris-FR,,,,,,,,,,,,,,,,,
272,7,Board Member ,2018,2025,7,2,2,1,NA,,,,,,,,,,,,,,,,,
272,1,Chairmain of Board ,2019,2025,6,2,2,1,D,,,,,,,,,,,,,,,,,
272,275,CEO Defence and Security Division ,2013,2015,2,1,1,1,D,,,,,,,,,,,,,,,,,
272,9,Chief Operating Officer ,2010,2013,3,1,1,1,D,,,,,,,,,,,,,,,,,
272,277,Head of Military Aircraft Division ,2007,2010,3,1,1,1,D,,,,,,,,,,,,,,,,,
272,278,Executive Vice President Operations ,2005,2007,2,1,1,1,D,,,,,,,,,,,,,,,,,
272,279,Managing Director ,2000,2005,5,1,1,1,D,,,,,,,,,,,,,,,,,
440,441,Rechtswissenschaften,NA,2018,NA,1,1,2,Halle-Wittenberg,,,,,,,,,,,,,,,,,
440,171,Rechtswissenschaften,2003,2007,4,1,1,2,NA,,,,,,,,,,,,,,,,,
